             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON) 
        6885438_14   general  Triplet     lwu3  R      49:56      1 ewi2 
           6886265   general Mar119_2     lzou  R       0:14      1 awi20 
           6886260   general Mar119_2     lzou  R       1:45      1 awi13 
           6886261   general Mar119_2     lzou  R       1:45      1 awi13 
           6886262   general Mar119_2     lzou  R       1:45      1 awi13 
           6886263   general Mar119_2     lzou  R       1:45      1 awi13 
           6886264   general Mar119_2     lzou  R       1:45      1 awi13 
           6886232   general Mar118_2     lzou  R       3:16      1 awi13 
           6886233   general Mar118_2     lzou  R       3:16      1 awi13 
           6886239   general Mar119_1     lzou  R       3:16      1 awi13 
           6886240   general Mar119_2     lzou  R       3:16      1 awi13 
           6886241   general Mar119_3     lzou  R       3:16      1 awi13 
           6886242   general Mar119_4     lzou  R       3:16      1 awi13 
           6886243   general Mar119_5     lzou  R       3:16      1 awi13 
           6886244   general Mar119_6     lzou  R       3:16      1 awi13 
           6886245   general Mar119_7     lzou  R       3:16      1 awi13 
           6886246   general Mar119_8     lzou  R       3:16      1 awi13 
           6886247   general Mar119_9     lzou  R       3:16      1 awi13 
           6886248   general Mar119_1     lzou  R       3:16      1 awi13 
           6886249   general Mar119_1     lzou  R       3:16      1 awi13 
           6886250   general Mar119_1     lzou  R       3:16      1 awi13 
           6886251   general Mar119_1     lzou  R       3:16      1 awi13 
           6886252   general Mar119_1     lzou  R       3:16      1 awi13 
           6886253   general Mar119_1     lzou  R       3:16      1 awi13 
           6886254   general Mar119_1     lzou  R       3:16      1 awi13 
           6886255   general Mar119_1     lzou  R       3:16      1 awi13 
           6886256   general Mar119_1     lzou  R       3:16      1 awi13 
           6886257   general Mar119_1     lzou  R       3:16      1 awi13 
           6886258   general Mar119_2     lzou  R       3:16      1 awi13 
           6886259   general Mar119_2     lzou  R       3:16      1 awi13 
           6886223   general Mar118_2     lzou  R       5:48      1 awi09 
           6886224   general Mar118_2     lzou  R       5:48      1 awi09 
           6886225   general Mar118_2     lzou  R       5:48      1 awi09 
